Review Title,Review description,No of stars,Review given by,Date of review
Another disaster,"This was the 2nd Fire Tablet that I have received. The last one was a long time ago and I returned it because it would not allow me to have AVI files. I decided after much thought to convert my AVI files into MP4. and as the Tablet was in the sale, I took the plunge and ordered it. This was a waste of time and effort because when it was connected to my computer so that I could load my videos and music, the 'Fire tablet' window was blank. There were no directories. I rang Amazon and spent ages trying to resolve the issue without success. I connected another Tablet and that worked perfectly so my reasoning was that the problem is with the Fire tablet.I think I'll keep my Time2 tablet. Why did I want to change? Quite simply because I could and I felt like a change. silly me!!!",1.0,Mr. Dag Smith,12 December 2018
RE: My Estimation Of Amazon Has Plummeted!,"Hi folks,In two years I am now on my fifth Fire HD8.  The first four have all died. It seems that these devices only have a six month lifespan!INot only that, the service at the South African Amazon repair centre is dreadful.  Promises never kept, call back appointments not honoured, and agents failing to denote conversations and agreements on their system.  I have literally wasted endless hours dealing with inadequate staff.Needless to say Amazon have now list themselves a once very loyal customer!My strong advice is to buy a different model by a different manufacturer from a different retailer.Best,Paul David Seaman (UK)",1.0,monsterjazzlicks,18 November 2019
Awkward to use,"I'm finding this product one of the most awkward tablets to use I have ever had. The alexa voice control works well but the tablet seems to keep going into standby mode, where the screen goes blank and the only way to revive it is to press the on/off button to put into standby then restart again. Once the screen unlock code is entered it then makes a click and screen goes black again. Tried entering setting to change standby to 10 minutes but has no effect - sometimes it stays awake then goes into blank mode again after a while or during use (did this 3 times when trying to set up an alexa app for my Echo. After a while it calms down and seems to work OK. Interface is not as good as Android and can be a little confusing with everything heavily geared toward the Amazon apps first, to be able to get to your own. Picture is good when working and the adverts keep appearing for apps & stuff I'll never use but that's the price for a cheap unit.  Overall not bad when it behaves however my next tablet will probably be an android.",2.0,Neil B,15 December 2018
Don't waste your money.,"This is, I think, my 4th Kindle in approximately the last 12 months, and it will definitely be my last. Bar the first, which fell prey to my cat, all the others have suffered some kind of electrical/electronic failure leaving me with a dead lump of uselessness. It's getting tired and old now, and I honestly do not trust the build quality of this latest generation of Kindles. Also the sound is way too low, and the sound quality could do with some serious improvement.I actually feel quite sad that I'm posting this review as my Kindle Fire 7 HDX is still going strong 5 years after purchase (well it could do with a new battery, but that's all). However this latest generation is just not up to the same quality. When this one dies, I'll pop the money towards a cheap and cheerful laptop and do my e-reading on that.",1.0,Kindle Customer,19 July 2019
A bit of a disappointment,"The battery on my Fire7 had finally given up the ghost after roughly 4.5 years, so I thought I'd go for an upgrade in terms of both screen size and processor speed, and indulged in the Fire8. To date, I'm not sure that's the case.Pros : the screen is sharp, though I can't discern a particular improvement over the 7. It boots up faster than the 7 did. Massively cheaper than conventional tablets (eg: iPad), so expectations are not as high.Cons: the touch screen is less sensitive than my old 7 - I've set a screen password, and have to swipe several times to get the login. The  speakers are quite tinny in sound if I want to listen to a short video or similar (not a problem when viewing films, as I've paired it with Bluetooth earphones). My email ceased syncing after three days (must find time to get onto the help desk), so no email access for the past few weeks. It's slow latching onto Wi-Fi when first booted up - can take up to a minute - and I have no problems with other devices, so not just poor wi-fi.So, all in all, a bit disappointed, having been very happy with the old 7.",3.0,Mr. D. D. Fitzgerald,12 November 2019
Not as fast as I'd hoped.,"I bought this hoping it would be a lot better than the Fire HD7, the difference between the two devices in terms of performance is, to my mind, minimal although the screen is noticeably larger. I think the price for the case is absolutely scandalous, I would have preferred it if they had kept the aspect ratio of the screen the same as the older HDX models, which are still better in performance than  these newer models. Since the demise of the Amazon Underground App Store there is less going for this device. If you have a prime subscription it is a more viable prospect as you will have access to prime video and music, though the speakers are very weak. If like me you have hearing loss, you will find the speakers infuriatingly quiet. If you have Amazon Kindle books ,the device is fine for reading, but for Audible you may struggle . I tend to use bluetooth headphones ( no danger of walking off and having your device crash to the floor, or accidentally yanking the headphone wire)Even though this review appears to be negative I'd have to say that for the price of the actual device it's better than just ok, if you're on a tight budget I'd recommend waiting for the special deals when the price drops.I have purchased all 3 of these tablets, 7,8 & 10 inch, and also have the HDX7 and is how I made my assessment .",3.0,Jeanette Nicholson,5 June 2019
"Utter rubbish.  But something, anything, else....","I previously owned a kindle fire 7.  This was small but worked very well, being compact, fast and adaptable.  Really a rather fabulous piece of kit.  The disappointment that is my kindle fire 8HD makes me wonder what happened.  Half the apps are either it allowed (Ebay) or not supported (Firefox).  It's slow.  Really slow...my three year old phone is quicker.  The device is slow at almost eevrything.The screen is poor too.  Somehow the resolution just doesn't seem right.You have to pay to get the Amzon adverts removed - yes... They install them and then you pay to get them removed.  Jesus Geoff...don't you have enough fingers in my digital life.....?I don't understand what went wromg, as the kindle 7 was fantastic.Either way it's pants and mines going back.",1.0,randombob,5 August 2019
Good budget buy,"Given the cost with the current £20 discount (£89 without special offers 32GB)  this is a great budget tablet buy.Now it could be a little faster, have less bloat ware and not be Amazon's tailored android operating system - all slight drawback - but the speed is not a big issue, the bloat ware still leaves loads of space and it can be easily modified to link to Googles 'apps' such as drive, photos, store etc.So really then best of both worlds with Kindle functionality built in too.I previously had a HUDL2 and I would rate them similarly.Biggest downside is that GPS is not implemented so location services/ mapping directions etc. could be a lot better when out and about.I would buy again unless my budget was twice what it was!",4.0,Digger,8 December 2018
Fire HD8 using it more and more!,"I finally accepted that a Kindle Fire could be a good thing.  I intended to use it as a very cheap tablet pairing it with a Bluetooth adapter to connect to my old stereo Arcam amp so I could listen to internet radio and the free Spotify app.  This works brilliantly and I am very pleased with that alone, however I have now been drawn into the world of books on Amazon and have enjoyed downloading and reading new reading experiences.  The HD8 it self is very easy to set up and the screen is first class for reading and I have even watched TV on it with no problems. The ability to highlight a word and be prompted to use either a dictionary or Wikipedia is a great addition.  The ""With special offers"" prompt made me think of paying the extra tenner to not have the ads, but I am glad I didn't as the ads are only a screen saver when the Fire is first woken up displaying ads for books or apps which disappear when swiped up, so don't waste money to get rid of it, or if it becomes a problem for you, it's possible to remove it after you have purchased it for the same amount.If you are thinking of trying a Kindle I would say do it! I am sure like me you will get a lot of pleasure from it.  My only slight moan would be that it's a little bit heavy but is still comfortable to read as any paperback or hard cover book is.At the current price it very hard to find anything that that compares with the Fire HD8.",5.0,Malcolm,5 March 2020
Get a different reader,"Disappointing had the previous kindle fire for 5 years. Seems that in that time all amazons efforts in development of the kindle have been aimed at locking the device even more tightly to the Amazon store so you can only purchase from there, and in providing a marketing tool to bombard customers with junk. The only aspect of the original kindle firebHD interface which was genuinely novel and attractive, i.e the seamless scroll wheel through all apps and books has inexplicable been removed . I can only assume to ensure improved marketing opportunities offered by hard wiring  other apps to the home page. I think this device is designed with Amazon in mind and not its customers!The support is confused and unabe to deliver solutions to basic probkems. The spell checker has to be disabled unless you want to spend your time correct the start of every email from ""Fear"" to ""Dear"". the Longstanding issues navigating the device and locating files remain unaddressedBasically rubbish.",1.0,David Snead,1 June 2019
You get what you pay for ...,"OK. So context wise, I've been an iOS user for a fair while and have an iPad. I bought this Fire Tablet as a 2nd Screen so that the kids didn't argue over sharing the 1 iPad when we went on Holiday and needed something to entertain them for the 7 hour drive to Cornwall, thinking it'd keep life peaceful.The hardware itself seems fine - build quality is alright, battery OK etc - but in practice, I personally find the software terrible. Having setup a couple of Kids profiles, they seem almost impossible to use because they're so restrictive; all my child wanted was the YouTube app installed and a couple of games to play. I ended up just letting him use the adult profile instead, as it felt more familiar to the iOS experience and I could just install games from the app store. That said, there's adverts everywhere you look (such as when you're logging in) which I HATE and it just feels cumbersome overall.In the setup process, they make it very easy to accidentally sign up for the Kids services that cost you £2.50 a month by offering a ""Free 30 days"" that has a massive button to press, where the ""No thanks"" option is a tiny little bit of sub-text you have to really look for.I'm glad I bought this on the Prime-Day sale for £29.99 - because it's cheap enough to now just stuff in a drawer and either forget about, or figure out if I can hack it to be something useful like an input device to my Home Automation setup.In hindsight - I should've stumped up for an iPad, (2nd hand or otherwise).",1.0,Mr W.,25 July 2019
No web browser available on a kids profile kids unlimited overcharging,"Update: I have also just found out that it is not possible to have 2 individual kids unlimited subscriptions on one amazon account. To get this I need a family subscription at £4.99. An individual subscription is £1.99 a month. I have had to source a 2nd device for the youngest (3) to avoid armageddon, so they have profiles on each device. I have found issues at every stage with these devices and really wish I'd never bought them.Tried setting this up for my Daugther (8 years) and surprised to find she is unable to browse the internet with it. I had assumed there would be restricted web access, but there is not even a web browser available on her profile. I have tried enabling the browser in settings (which I assume means that somehow web browsing is possible) but after 3 hours of trying I can't locate it.  Many others on the forum have reported this issues and none of teh suggestions provided work. and Amazon customer service have not responded to help requestd, my own and others by the look of it.  I appreciate the need for safe-guarding, but no web access makes the device redundant.With regard to screen quality, I have alos marked this down as it seemed to fade in and out as I was setting it up. Not sure if this is a real issue yet, but I may never find out if I have to return it due to no web browsing ability.",1.0,Steven John Banner,24 December 2019
great tablet and a low price,"The fire tablet for the money is excellent at £45 on sale.Screen- The screen is pretty good for the size. it fits perfectly for use to watch films whilst remaining portable. The resolution is relatively decent, it is not as high as a flagship premium tablet however the colours and viewing angles are great and make up for the lower resolution.Performance- performance is okay, it will load amazon apps pretty quickly and will be more than useable for internet browsing. I found that it can slow down due when switching between apps quickly but nothing too noticeable.Price- the price is excellent compared to other devices especially when on sale.Apps- apps is the main downside to these tablets. With no access to the google play store i found that it was not useful for my needs and needed to return the device. However if you are invested in the amazon ecosystem  of apps or only need very limited apps it is excellent. My main dislike for the device is the amount of useless apps pre installed on the device that waste valuable space and performance. if the play store was added and the amount of amazon apps reduced or allowed to be removed by the user , this would be the best tablet on the market at the price.Features- it has an acceptable camera for a tablet, an 8 inch screen as well as a good battery life that allowed for long video watching sessions and web browsing. there are very few extra features due to the price point however most of these would never be used by most people so they are not missed.Overall- excellent device and a brilliant price. Its only let down is the restricted amazon app ecosystem and lack of the google play store.",4.0,Elliott,24 November 2019
"Not really put it to the sword yet, but....","I've had a Gen4 Fire-7 for 3 years and was more than happy with it, until it started creaking, so thought as it was a big birthday I'd go for the upgraded size/memory etc.I have only done the basics with it so far, but am more than happy with the speed, clarity, ease of use and continuity of operating so all good so far.The talky/handsfree Alexa seems to be fun, but as an old git it's something I need to get into...or ignore when the novelty wears off.Connecting to my wireless headphones was a trial, but I persevered and all is crystal perfection now.Only complaint, if I had one, is the lack of crossover Apps to FireOS, but I knew that when I decided to stay with Amazon Fire rather than an Android tool, so I can't mark it down for my choice to stay.",5.0,Simon P,13 November 2018
Don’t buy when on sale! Device arrives broke!,"Well this is my second Amazon device and frankly I’m very disappointed. This device out of the box was faulty! Firstly it wouldn’t power on, so I plugged it into the charger with the provided (very short) usb cable and it came on showing 0% battery, while it charged up I activated it and then waited for it to fully charge which was surprisingly fast. However as soon as I disconnected the charger the device switched off and would not power on. So in plugged it in again and again battery showed 0% charge, waited again for it to recharge, and again disconnected it from the charger, guess what, it switches off again and won’t turn on. Repeated the process for a third time, same result.So I go to my Amazon app and request a replacement, told I’d get a email reply in 12 hours. The email then asked me to go live chat and after instructions where I try to turn it on which it wouldn’t they started the process of sending me a replacement. This is when they say it will take 3 days to send it even though I’m a prime user and my area has Amazon Now.  Then they say they can’t authorize a replacement because there’s an error with my card details, and ask for another card which I don’t have since I have no need for any more since my visa debit card is all that I’ve ever needed. I go to check my account that’s fine, I then go and order another Fire HD 8 no issues and then cancelled it. I go back to the chat and I’ve been disconnected!So now I’m calling there customer service line, the agent was very nice, but same issue with my card again. 30 mins on the phone with only maybe 5 minutes of actual talk time, they say still having problems and will call me back later.So not a happy camper now!I would return it and just order a new one but I bought it on the last day of the summer 2019 sale at 25% off. So stuck with no idea what’s going on. It would just be so simple to send a Amazon Now Delivery guy with a replacement but I suppose that’s just to practical.",1.0,James W.,1 September 2019
Disappointing,"Purchased this tablet as an alternative option to laptop for my grandmother.Unfortunately it was difficult to set up, everything was linked to amazon adverts and the number of apps available is very limited.Most of options cannot be switched off which was distressing for my Nan as adverts kept popping up all the time.Could be a good alternative as child’s first tablet, which children protection settings, unfortunately we did not find it user friendly.You also can only set up with with amazon account and not email.Ours was return as we were dissatisfied and it did not meet our need as all we wanted was something to read news, browse google and play games like candy crush.The only positive thing about this tablet was a nice red colour.If you want to purchase it, I’d suggest that you visit shops which sell them to have a look at to before buying it.",1.0,Mal,4 February 2020
Mainly silly kid's games apps,"I bought this tablet to replace my old Hudl 2 which had given up the ghost.Although good value at under £60, I have found it to be very slow and spend a lot of time staring at a blank screen waiting for something to happen.The selection of apps are very limited: most of them being silly games meant for kids.The useful 'tool' apps normally available on Android tablets are mostly not compatible with this device.I do believe it's possible to download Google Play store to obtain more useful apps, but the process seems very complicated unless you are a computer buff a nd understand the abbreviations you need to imput.So it looks like I will need to purchase another Android tablet to enjoy the applications I'm used to.Another thing is that the camera leaves a lot to be desired.",3.0,Spadger,30 November 2018
"Gawd, this thing is slooooooow","If you like screaming in fury at a blank screen as it resolutely ignores you, only for it to spasm into life ten seconds later, by which time the string of expletives have polluted the childrens' ears, scared the cat and confused this lump of inert glass almost completely. It then asks you to enter your passcode, by which time you will probably have hurled the thing out of the window. What is the point of voice control, when it then asks you to put in a passcode every time you want to use it?It gets two stars, because as a cheap 'traditional' tablet it is fine. In show mode , whilst on its stand it is no better than one of those digital photo frames popular ten years ago - but even then, it dims the photos (not configurable) so it can present some inane headlines about who has been kicked out of the jungle/won a dance on Strictly.Great idea, but-  in practice -  a pain in the posterior.",2.0,S. Ineson,7 December 2018
Kids tablet only,"I'll give you my backgroundI'm 30 years oldI have a 2.5 year boyA 2015 iPad MiniA 2012 iPad 3A 2019 iPadA Huawei Mate 20 proI love my tech and I do not have time for cheap tacky products that freezeGoing into buying this, my sole purpose was for a CCTV screen. I wanted to have it on at my front door so I could see who.ir was before I answeredTo.do this I had to side load the Google play store which is very simple and I need to disable the auto lock screen which again I didIt worked fine however the WiFi in this is quite poor and wouldn't hold connectionSo this then became.my.sons tabletHe has our old.ipad mini which is too slow for humans to use ( thank you apple)So I compare this tablet to that really.The touch screen on this fire is slow and not very responsive.Think 2010 touchscreenThe screen I think is a 720p.display but nothing more than that. It's basic quality.For my son its fine but for say a 5 year old they would get frustrated at the input lag and lack of ram.This tablet is perfect for 3 consumers1. Elderly person who doesnt have a clue what good tech is and just wants to have it for say video calling or Netflix2. A child under 53. Someone who like my wanted it for nothing more than a small cheap display for cctv viewingIf you fit into that category you can crack onHowever coming from high end tech it's hard to look at this end of the market without criticismIt provides cheap tech at a reasonable quality for cheapThe battery isn't great and it's slow to use.If for example you wanted to take something with you that you wouldn't care about being stolen then again this is great.Using this on a plane or something would be great but for quality and everyday use I'd say you would get frustrated with it and end up breaking it.iPads are THE best tablets hands down but they are over £200 so just look at what you want and then buy if you want it",2.0,Baby Yoda,25 June 2020
"Cheap, but fiddly/frustrating to use, a cluttered, uncontrollable mess. Buy something better.","Reviewing this from the point of view of a parent of Y2 children. Yes, it's cheap. But, it's frustrating to use. Slick it is not. It is the entry level tablet for entry level tablets. You can't get more basic than this. But it has good parental controls and supports multiple profiles. And it was only about £60.Likes:Multiple profilesParental controls and setting time limitsAdding customisable list of websites (for young children)Age-related contentCheap as chips (although the quality reflects this)Dislikes:Fiddly settingsIncredibly messy home screens set by Amazon that can't be changedAdverts when switching between profiles meaning entering your PIN twiceTwo icons for web browsers: one called 'internet' another called 'Silk' but both appear to be the same (why??)Despite enabling web browser for children's profile a web browser doesn't appear - meaning that the websites you added for your children's profiles cannot be accessedDespite promises of 'thousands of age-related websites' there are only a few (are the rest in the missing browser? Who knows...Amazon adding Kids Unlimited probably because I clicked on something (Amazon has a history of adding stuff without you realising - see Amazon Prime). This may be from the initial purchase - SO BE WARNED AFTER A YEAR TO KEEP AN EYE OUT ON YOUR CARD FOR AMAZON SUBSCRIPTIONS.Screen quality - it is NOT HD. Like the Ring app (that Amazon own and promote as 'HD') Amazon's version of HD doesn't seem to be everyone else's.Poor photo quality - you don't want this to take memorable family snapsImpossible to speak to anyone at Amazon to provide feedback toI also have an iPad Air which cost 10x this. Like comparing a BMW 5 series and a Dacia Sandero, you cannot compare the two. But you may want to pay more if it was just slightly slicker to use and had better features. If the stuff above doesn't bother you and you have incredibly low expectations of quality then this is the perfect 5-star tablet for you. But that low price comes at a cost: hours of frustration. I don't have time for that, personally.",2.0,tastyfish,7 September 2020
It's a good reliable Tabley.,I brought my red tablet so I can watch and download netflix programmes/films. I download things sp my kids can watch things in the car too. Unfortunately you cannot use the tablet unless there is WiFi otherwise. I sometimes download things to watch from Iplayer to when I'm put and about too. It's a good reasonable tablet. I brought my son the kids edition before this and I also brought a blue tablet too (unfortunately I broke the screen) and they do last for a very long time. Make sure you buy a screen protector and a cover so your tablet is more protected.  Unfortunately of yiu break the screen you may as well just buy a new tablet because getting it fixed cost the similar about of what the tablet costs. It makes Amazon shopping better..if you're on Amazon Prime you can access films and programmes from there too. It has a wide variety of apps and games to choose from.,5.0,Victoria Addison,28 February 2020
"Good Value - at least, it was.","I bought this on special offer for £44.99 when my Tesco Hudl died.  As supplied, it is full of ad crap and bloat, but it can be de-amazonized quite easily using the instructions and toolbox from liliputing.  Then, any app can be installed, including those on the Google app store.I have to admit, I’m not a great tablet user but I find it useful as a controller for my focusing rail and as a screen for viewing remote cameras.  It seems to have all the functionality that the Hudl had, although the internal camera is not as good.  This doesn’t bother me as I don’t use it for taking photos. For the money, I don’t think you could beat it, although I see that the price has now jumped up to £79.99…hmm, not so good!",5.0,Dave,23 February 2020
Great tablet,"I bought this to replace my ancient iPad. Although I can't get all the apps that I could from Apple, I just save the web pages on my browser. Internet is fast, the fire uses Silk . Camera is not the best but I didn't buy it to take photos. Battery life is very good, lasting 2 days with normal use. The home page is nice and easy to navigate books and magazines.  I don't use Alexa so I can't comment on that, but for the price it is well worth considering.",4.0,L. D'Costa,11 March 2020
Terrible,"The hardware its self is not the problem its amazons limited OS.Cant install apps from google play store, doesnt even have google play store, you have to mess about altering the whole. once u install an APK there is no way to install it to the kid account,Infuriating to use. probably the worst tablet ive ever usedThere is no file browser...Just everything you want to do there is some block or issue or simply wont allow it to be done.I can NOT reccomend it, it is simply infuriatng and frustrating to try to do anything on other than what amazon wants you to go on (eg only amazon things!).100% terrible product!",1.0,Mark T.,28 May 2020
Excellent compliment for other Amazon devices & apps,"I bought this tablet whilst on offer so it was excellent value (half price). It works well and the screen quality is excellent.I got it primarily for books and audible purchases but have used it for internet searches and watching video's and it works really well, the sound quality is good too.Please do your research before buying, this device does not work with many android and google apps so don't expect chrome, docs, ebay etc, but Amazon's internet browser, Silk is perfectly adequate once you've gotten use to it. Don't buy it thinking its a cheap android tablet, it's not.I would recommend getting this tablet to complement your other Amazon products and apps (Prime video, Kindle, Audible etc) as they all work in sync.",5.0,Mrs R,19 April 2020
Amazing tablet but not sure about the subscriptions.,"I’ve been using this tablet for 3 weeks now, and I am overall happy with this tablet. To be honest this tablet is very good quality and the price is very reasonable. The problems are, you have to pay for your subscriptions, and it’s not very clear how does the subscription work like you have to pay for each app ie Amazon Music, Amazon Video or Amazon Kindle etc. It’s not really user friendly and it’s cost quite a lot of money. And I only just able to finished one movie since I tried on the Amazon Prime 2 weeks ago. And the movie choices are really limited unless you are willing to pay extra for more choices. So I don’t think I will continue my subscription since I don’t think it’s necessary.",3.0,Vinson C,30 December 2019
Delighted with my purchase,"I bought the Kindle Fire 8 to read eBooks - being able to check my emails and social media is a bonus. I had intended to buy the smaller and cheaper Fire 7 but when I saw them in the flesh I much preferred reading on the larger version. To begin with, the reflective screen meant I couldn't read outside on the balcony, but the easily applied Tech Armor Anti-glare screen dealt with that. I considered saving £10 by not having the Special Offers appear every time I opened the Fire, but I quite like them, even the silly ones,  and when they are for eBooks, they are useful. It's biggest advantage for me is that it weighs about half of my full size iPad and fits easily into my handbag. I haven't really explored all the Apps available but was delighted to find that, unlike with my Kindle Oasis, I could download the Cloud Library app and borrow eBooks from my local library. And it's so much cheaper than its competitor, the mini iPad!",5.0,JH,29 August 2019
Quality and very well equipped,"Primarily to assist my reading.  Having deteriorating eyesight, the ability to invert book text - white text on black background - makes a major difference to reading in real comfort.The fact that it is also a well equipped tablet is a bonus I hadn't expected.",5.0,John Edwards,12 May 2019
Excellent bit of Kit,"Excellent bit of kit. For the amount of money that this costs it is truly a steal!PROS- Quad core processor.- Very decent battery life.- Decent variety of apps for Fire OS (though no YouTube)- Excellent support should you need it.- Speakers are decent.- Quite lightweight.CONS- Screen resolution and brightness could be better.- Camera quality is poor.- OS feels a bit convoluted.Overall a brilliant little device which is ideal to take on holiday or a long journey to watch saved NetFlix or Amazon Video on. However, this is definitely not an iPad replacement.",5.0,Rusty,17 July 2020
Fantastic - but will they last?,"I have purchased several of the Fire 8 tablets for myself and my husband.  Two of them failed completely after about 18 months of use.  I absolutely love the features and ease of use, but I had so much loaded onto the tablets when they failed and am therefore deeply disappointed.  Amazon help-desk really tried to assist me to get them working again, and when they could not offered me a discount on a replacement, as on both occasions they were out of guarantee.  I have much older Kindle Fire models which are still going strong, so wonder if I got faulty models or if this is a design flaw.  I will not be buying another - going to try the 7 instead.",3.0,Extra Mum,23 January 2020
Great tablet for the price!,"I bought a refreshed Fire 8HD Tablet from Amazon Marketplace. It was marketed as minor cosmetic damage but no damage was visible and it arrived in almost perfect condition.The tablet works great and will suit it purpose of being a 8"" Alexa Show mode device / small tablet.All in all a great purchase.About the tablet itself...It's no iPad, Its' not as easy to use or as robust, which you would expect.the screen looks sharp and colour is good. movies are smooth and look pretty good although HDR is not supported.Cosmetically the device looks a little cheap, again as you would expect, but is perfectly usable. Its made of plastic and is thus quite flexible.Sound quality is as expected in that it isn't fantastic but works well.This is the second Fire 8 in the household having purchased one for a family member earlier in the year. That tablet works well for my 6 year old hence buying a second.I would recommend this tablet, for the price its a good buy!",4.0,Darren,27 December 2019
Simply unusable,"I purchased this device fully aware it was not going to be a cheap ipad or Samsung rival but the reviews made me think it would be suitable as a very basic device. Unfortunately the device operation is clunky and frequently freezes, refusing to respond to most inputs. Notifications (despite being turned off) pop up constantly, seemingly causing the freezing issue. Battery life is very poor compared to previous Samsung/Apple products. The lack of Google apps is the final nail in the coffin. Although not caring if I use Google as a search engine or not, both Google maps and YouTube are a must on a device like this as Amazon's own versions are incredibly poor.Having now experienced a Fire tablet, next time I will happily pay the extra to get a 'proper' tablet that actually works.",1.0,Eddy B,27 April 2019
